group,time,elements,total,technique
"all","0.05","10000","1.644725","sumFloat"
"all","0.05","10000","1.64381","sumBfloat16"
"all","0.504","100000","1.644725","sumFloat"
"all","0.505","100000","1.64381","sumBfloat16"
"all","1.78","1000000","1.644725","sumFloat"
"all","1.342","1000000","1.64381","sumBfloat16"
"all","13.539","10000000","1.644725","sumFloat"
"all","13.432","10000000","1.64381","sumBfloat16"
"all","135.34","100000000","1.644725","sumFloat"
"all","134.231","100000000","1.64381","sumBfloat16"
"all","1354.43","1000000000","1.644725","sumFloat"
"all","1343.146","1000000000","1.64381","sumBfloat16"
